Manufacturer,Year,Price (USD),MPG MIN,MPG MAX,Engine Volume (L),Mileage,Accidents or damage,Seller Rating,Seller Reviews Count,Car Rating,Car Reviews Count,Car Recommendation Rate,Car Comfort Rating,Car Interior Rating,Car Performance Rating,Car Value Rating,Car Exterior Rating,Car Reliability Rating
BMW,2018,"27,000",21,31,3,"80,138",0,4.6,,4.9,17,100,4.8,4.8,5,4.6,4.9,4.8
Jaguar,2003,"11,626",18,26,4.2,"91,190",0,2.3,89,4.5,8,100,4.6,4.5,4.9,4.7,4.7,4.7
Jeep,2019,"37,995",18,23,3.6,"38,283",0,4.8,,4.6,112,89,4.5,4.7,4.7,4.3,4.8,4.7
Kia,2016,"11,488",19,26,2.4,"82,110",0,4.8,882,4.5,56,85,4.7,4.6,4.5,4.4,4.7,4.6
Nissan,2021,"17,297",29,39,2,"64,206",1,4.8,,4.9,27,92,4.9,4.9,4.7,4.8,4.9,4.8
Nissan,2006,"11,000",,,4,"89,591",0,,,4.2,43,81,4.1,3.9,4.6,4.3,4.5,4.2
Audi,2021,"37,598",18,23,3,"39,678",0,4.6,590,4.8,13,84,4.9,4.6,4.5,4.3,4.9,4.3
Mazda,2021,"21,999",24,31,2.5,"63,829",1,4.7,101,4.8,36,91,4.7,4.8,4.6,4.7,4.8,4.8
BMW,2018,"19,322",21,31,2,"65,263",1,,,4.8,42,92,4.6,4.7,4.7,4.5,4.9,4.6
Chevrolet,2021,"24,900",26,31,1.5,"26,016",0,,9,4.7,74,94,4.8,4.7,4.6,4.6,4.8,4.6
Nissan,2017,"35,995",18,26,3.7,"20,152",1,4,,4.8,19,100,4.2,4.5,4.9,4.6,5,5
Volkswagen,2015,"15,998",25,37,,"64,367",0,,0,4.7,159,95,4.6,4.6,4.6,4.6,4.7,4.7
INFINITI,2004,"5,390",0,0,3.5,"140,814",0,,20,4.6,100,95,4.3,4.2,4.8,4.6,4.8,4.6
Volvo,2023,"30,998",23,30,,"32,020",,,4,4.9,7,100,5,5,4.9,4.6,5,4.9
Kia,2022,"18,300",29,35,2,"16,096",0,4.6,,4.1,11,63,4.3,4.3,4.4,4.1,4.5,3.5
Honda,2016,"14,998",32,38,,"100,289",0,,4,4.6,88,87,4.2,4.5,4.4,4.6,4.5,4.7
Jeep,2021,"23,777",22,27,1.3,"10,736",0,,79,4.2,28,78,4.5,4.5,4.1,4,4.5,4.2
BMW,2024,"43,902",25,34,2,"2,642",,4.2,310,4,,,4,4,4,4,4,3
Lexus,2015,"27,498",12,17,5.7,"169,482",1,5,5,5,4,100,5,5,5,5,5,5
BMW,2023,"36,979",,,,"8,814",0,4.4,361,4.8,5,100,4.8,5,4.6,4.2,5,5
Land,2007,"9,999",17,12,4.4,"114,922",0,,10,4.4,14,71,4.7,4.1,4.3,4.1,4.5,4.3
Lexus,2010,"9,900",35,34,2.4,"155,800",0,,32,4.5,48,87,4.5,4.6,4.3,4.5,4.4,4.8
INFINITI,2012,"10,878",17,24,3.7,"94,140",0,3.3,43,5,3,100,5,5,5,4.3,4.7,4.7
BMW,2024,"38,999",21,28,,"28,487",0,4.9,736,5,3,100,5,5,5,5,5,5
Dodge,2011,"9,999",13,18,4.7,"179,606",0,4.9,121,4.6,292,91,4.8,4.7,4.6,4.5,4.8,4.5
Toyota,2019,"17,414",43,44,2.5,"130,703",0,4.5,59,4.8,36,94,4.8,4.7,4.7,4.6,4.8,4.9
Lexus,2021,"34,000",43,44,2.5,"27,350",0,4.8,403,5,10,100,5,4.9,4.9,4.9,5,5
Lexus,2017,"21,963",22,27,2,"63,938",1,4.9,237,4.8,118,92,4.8,4.7,4.7,4.6,4.8,4.9
Audi,2015,"11,574",20,28,2,"111,398",0,4.6,39,4.7,62,90,4.7,4.6,4.7,4.3,4.8,4.6
Honda,2023,"26,488",29,37,1.5,"11,403",0,4.8,,3.2,9,55,3.6,3.7,3.2,3.2,3.6,3.1
Jaguar,2010,"11,613",16,23,5,"66,281",0,4.1,289,4.6,36,94,4.6,4.7,4.8,4.6,4.9,4.4
Nissan,2023,"25,956",28,35,1.5,"10,751",0,5,42,3,66,43,3.9,4,3.3,3.1,3.8,3.2
Dodge,2020,"21,475",19,30,3.6,"68,054",0,4.6,107,4.8,58,93,4.8,4.8,4.8,4.6,4.8,4.8
Audi,2002,"6,000",,,1.8,"128,000",0,,,4.5,30,90,4.3,4.6,4.7,4.5,4.8,4.2
Kia,2018,"11,990",28,37,1.6,"70,588",1,4.7,250,4.5,62,87,4.5,4.4,4.5,4.5,4.5,4.5
Chevrolet,2020,"19,295",26,31,1.5,"49,330",1,,1,4.7,288,91,4.7,4.7,4.7,4.6,4.8,4.7
Plymouth,1964,"39,000",0,0,,"81,980",,2.2,282,,,,,,,,,
BMW,2022,"30,000",,,2,"29,500",0,,,5,,,5,5,5,5,5,5
Ford,2023,"27,799",21,28,2,"38,102",0,,235,4,2,50,5,5,4,3.5,5,3.5
Jeep,2024,"27,700",24,32,2,"6,392",0,4.3,257,5,,,5,5,5,5,5,5
FIAT,2019,"22,995",26,36,1.4,"12,358",0,5,7,4.9,11,100,4.3,4.6,4.6,5,5,4.9
Lexus,2021,"29,000",25,34,2.5,"23,823",1,4.6,154,4.8,4,75,4.8,5,4.5,4.2,4.8,4.5
Mercury,2007,"6,999",15,20,4.6,"113,083",0,,8,4.3,25,84,4.6,4.1,4.2,4.4,4.4,4.2
Toyota,2021,"29,999",40,37,2.5,"53,788",0,,3,4.6,80,90,4.7,4.7,4.6,4.6,4.9,4.7
Lexus,2022,"40,500",22,29,2.4,"13,872",0,4.7,868,3.8,6,83,4.8,4.7,4.7,3.7,4.7,4.8
Buick,2016,"16,994",19,27,2,"43,780",1,4.6,,4.6,44,93,4.7,4.7,4.8,4.7,4.8,4.8
Ford,2023,"24,399",21,28,2,"32,429",0,,1,4,2,50,5,5,4,3.5,5,3.5
BMW,1993,"24,995",12,19,5,"52,400",0,4.9,386,4.7,3,100,4.3,5,4.7,3.7,5,4
Kia,2024,"37,485",,,,"3,041",0,4.3,,,,,,,,,,
Toyota,2009,"5,900",25,31,1.8,"196,000",1,,1,4.4,44,86,4.3,4.1,4.3,4.3,4.2,4.5
Ford,2021,"30,350",0,0,,"45,273",0,4.9,,,,,,,,,,
INFINITI,2005,"4,999",16,20,3.5,"120,839",,3.8,55,4.6,33,87,4.7,4.3,4.7,4.5,4.8,4.6
Chevrolet,2017,"14,993",0,0,1.5,"104,645",0,4.5,,4.8,103,96,4.6,4.6,4.8,4.6,4.7,4.7
Land,2016,"39,997",15,19,3,"34,455",0,4.9,273,4.3,22,77,4.6,4.4,4.4,4,4.7,4
Mercury,2003,"42,999",17,21,4.6,"35,650",0,5,5,4.8,23,95,4.8,4.6,4.9,4.6,4.6,4.8
Chevrolet,2023,"44,694",16,20,5.3,"16,613",0,5,333,4,7,57,4.4,4.4,4.1,4,4.4,4
Chevrolet,2020,"14,494",26,34,1.4,"26,351",1,3.8,374,3.9,10,60,4,4,4.1,3.6,4.1,4
Lincoln,2020,"28,995",42,39,2,"49,665",0,4.9,153,5,2,100,5,5,4.5,4.5,5,5
Chevrolet,2022,"20,479",23,30,1.4,"8,081",0,,7,4.4,5,100,4.4,4.8,4.6,4.8,4.6,4.6
Jeep,2021,"24,522",22,30,2.4,"62,218",0,,121,4.3,54,81,4.5,4.6,4.3,4.3,4.6,4.3
Nissan,2021,"22,620",25,32,2.5,"45,139",0,,156,4.5,111,82,4.7,4.7,4.4,4.3,4.7,4.4
Nissan,2023,"21,999",26,36,2.5,"16,559",0,,1,4.6,7,85,4.4,4.3,4.6,4.4,4.7,4.4
Audi,2016,"26,190",23,30,2,"47,380",0,,2,4.9,14,100,4.9,5,4.7,4.6,4.9,4.9
Volkswagen,2015,"16,988",23,30,2,"122,509",0,4.6,,4.7,10,100,4.7,4.7,4.7,4.4,4.3,4.4
BMW,2015,"11,900",22,33,2,"113,503",1,,2,4.8,110,96,4.7,4.7,4.8,4.5,4.8,4.7
Jeep,2012,"11,900",21,21,3.6,"156,201",0,,2,4.8,86,96,4.4,4.5,4.6,4.5,4.8,4.6
Saturn,2007,"16,798",21,29,2,"12,820",0,,1,4.8,62,95,4.2,4.2,4.5,4.7,5,4.6
Chevrolet,2010,"28,588",16,24,6.2,"13,462",0,,18,4.6,214,93,4.4,4.3,4.8,4.5,4.8,4.6
Hyundai,2023,"32,466",45,51,2,"11,535",0,4.8,445,3.8,6,66,4.8,4.7,4.7,4.5,4.5,4.3
Audi,2019,"28,586",23,34,2,"53,227",1,4.4,914,4.9,16,93,4.9,4.9,4.8,4.8,4.9,4.9
Hyundai,2016,"11,500",26,37,1.6,"86,289",0,,1,4.4,91,84,4.3,4.1,4.3,4.4,4.4,4.3
Volkswagen,2022,"23,400",22,29,2,"25,076",0,4.5,761,3.2,16,43,3.9,4,3.2,3.3,4.2,3.4
Jeep,2020,"17,695",22,31,2.4,"75,032",0,,1,4.8,155,96,4.8,4.8,4.8,4.7,4.8,4.8
Audi,2019,"23,995",22,27,2,"53,592",0,5,7,4.7,44,93,4.7,4.5,4.7,4.4,4.7,4.6
Kia,2022,"39,990",19,24,,"41,538",0,,2,4.4,14,71,4.7,4.7,4.4,4.4,4.7,4.1
Lexus,2022,"39,999",19,26,,"31,835",0,4.6,316,4,,,4,4,4,3,4,5
Porsche,2005,"26,980",17,25,3.2,"31,950",0,,22,4.8,36,88,4.4,4.7,4.9,4.7,5,4.5
Dodge,2023,"42,840",14,22,5.7,"7,104",0,4.8,274,5,2,100,5,4.5,5,5,5,5
MINI,2015,"11,780",24,33,2,"86,683",0,4.7,155,4.9,37,100,4.5,4.8,4.9,4.6,4.9,4.9
Kia,2021,"20,290",46,40,1.6,"45,995",1,4.5,539,3.3,3,66,3.7,4.3,3.3,3.3,3.7,3.7
Jeep,2021,"26,888",18,25,3.6,"45,029",1,4.9,52,4.6,64,92,4.6,4.7,4.6,4.5,4.7,4.6
Lexus,2019,"27,518",33,30,2.5,"75,088",0,4.9,558,4.7,19,89,4.7,4.6,4.8,4.6,4.7,4.8
Mazda,2013,"9,438",24,33,2,"88,407",0,,4,4.7,83,98,4.5,4.6,4.7,4.8,4.7,4.8
Mercedes-Benz,2018,"43,953",17,22,4,"27,025",0,3.4,299,4.8,4,100,4.5,4.8,4.8,4.5,5,4.3
Ford,2017,"17,000",,,2,"54,000",1,,,4.7,57,94,4.5,4.4,4.8,4.7,4.7,4.7
Cadillac,2006,"33,500",15,22,4.4,"54,108",0,4.8,360,4.8,25,92,4.5,4.6,4.9,4.6,5,4.6
BMW,2015,"26,950",17,25,4.4,"63,971",0,4.3,834,4.9,7,100,4.7,4.6,4.9,4.3,5,3.8
BMW,2017,"21,999",20,30,3,"84,332",0,3.5,53,4.9,16,100,4.8,4.9,4.9,4.8,4.8,4.9
Mercedes-Benz,2011,"9,950",16,22,3.5,"126,348",1,3.5,21,4.4,34,85,4.6,4.4,4.3,4.2,4.6,4.4
INFINITI,2020,"26,995",22,28,2,"36,667",0,,117,4.5,24,87,4.8,4.8,4.3,4.3,4.8,4.6
Jeep,2022,"34,444",21,24,2,"57,984",0,4.5,226,4.8,8,100,4.8,4.8,4.9,4.6,5,4.9
Chevrolet,2021,"38,995",,,4.3,"66,988",0,4,942,,,,,,,,,
Lexus,2023,"45,000",20,28,3.5,"10,332",0,4.8,869,,,,,,,,,
Mercedes-Benz,2016,"29,990",17,23,3,"86,030",0,4.5,43,4.8,11,90,4.9,4.9,4.7,4.1,4.8,4.7
Suzuki,2011,"6,995",23,23,2,"118,516",0,,3,4.4,28,89,4.5,4.2,4.2,4.6,4.1,4.6
GMC,2019,"25,900",21,26,3.6,"61,067",0,,16,4.8,135,92,4.8,4.6,4.8,4.7,4.8,4.8
Audi,2016,"18,651",17,24,3,"85,877",1,,2,4.9,16,93,4.6,4.8,4.9,4.6,4.9,4.6
Volkswagen,2015,"15,495",17,23,3.6,"98,483",1,,15,4.7,13,100,4.9,4.8,4.8,4.6,4.8,4.8
BMW,2018,"18,995",24,34,2,"66,516",0,,51,4.9,25,96,4.9,4.9,5,4.8,5,5
BMW,2017,"37,956",18,26,3,"36,309",1,4.6,,5,19,100,4.6,4.7,5,5,4.9,5
Ford,2023,"35,900",21,26,2.3,"25,705",0,,5,4,3,33,3.3,3.7,4.3,3,3.7,4
Lincoln,1995,"6,996",18,25,4.6,"86,771",1,4.7,915,5,7,100,4.9,4.7,5,5,5,4.7
Kia,2020,"25,995",19,24,2,"27,944",1,4.5,191,4.8,182,92,4.8,4.8,4.7,4.7,4.8,4.8
Volvo,2021,"36,200",21,28,2,"29,948",0,,140,4.9,26,100,5,5,4.9,4.9,5,4.8
Toyota,2008,"14,900",18,26,3.3,"49,029",1,3.1,159,4.9,53,100,4.9,4.9,4.8,4.9,4.8,4.9
Kia,2024,"20,574",28,39,2,"5,140",0,4.4,105,5,2,100,5,5,5,5,5,5
Volkswagen,2017,"16,990",22,30,1.8,"61,744",0,4.9,619,4.9,73,98,4.7,4.8,4.6,4.7,4.8,4.8
Jeep,2021,"18,698",21,29,2.4,"44,573",0,4.6,,4.2,28,78,4.5,4.5,4.1,4,4.5,4.2
Lexus,2020,"24,495",29,37,2,"82,935",0,4.8,,3.8,6,66,4,3.7,3.7,4.2,4.7,4.7
Jeep,2021,"30,032",18,25,3.6,"24,875",1,,2,4.6,64,92,4.6,4.7,4.6,4.5,4.7,4.6
Chevrolet,2022,"34,995",17,24,3.6,"38,224",0,,0,4.2,14,85,4.4,4.4,4.1,4.3,4.9,4.4
RAM,2022,"25,949",17,25,3.6,"57,125",0,5,8,5,,,5,4,4,4,5,5
Ford,2017,"11,750",17,24,3.5,"135,990",1,,4,4.6,372,90,4.8,4.7,4.6,4.4,4.8,4.6
GMC,2012,"8,200",,,3.6,"186,000",0,,,4,116,75,4.5,4.5,4,3.8,4.6,3.9
Hyundai,2024,"21,488",31,40,2,"21,726",0,4.9,316,5,,,5,5,4,4,5,5
Buick,2018,"13,500",22,32,2,"97,228",0,,2,4.7,22,90,4.8,4.5,4.8,4.6,4.9,4.8
Ford,2020,"29,998",18,23,,"35,000",0,,1,4.8,227,96,4.9,4.7,4.8,4.6,4.8,4.8
Chevrolet,2023,"27,137",22,29,2,"21,496",0,4.4,861,5,3,100,5,5,5,5,5,5
Nissan,2023,"41,299",20,25,3.5,"12,903",0,,6,4.4,16,75,4.6,4.5,4.4,4.1,4.8,3.9
Jeep,2016,"18,995",21,29,1.4,"38,082",0,,3,4.3,188,81,4.5,4.5,4.2,4.2,4.6,4.3
Ford,2023,"33,490",19,25,2.7,"1,781",0,4.8,,4,2,50,5,5,4,3.5,5,3.5
Cadillac,2021,"38,999",18,25,3.6,"34,748",1,4.2,231,4.9,10,90,4.8,4.9,4.8,4.8,5,5
Genesis,2018,"24,995",17,25,3.3,"64,603",1,,83,4.9,96,94,4.9,4.8,4.8,4.8,4.8,4.9
Toyota,2023,"35,400",49,50,2,"14,678",0,4.9,,4.8,6,100,4.3,4.3,5,4.8,5,5
Volkswagen,2010,"6,995",20,29,2.5,"143,181",1,1.9,204,4.6,20,90,4.5,4.6,4.4,4.6,4.8,4.3
Honda,2022,"25,998",28,34,,"9,428",0,,23,3.8,9,55,3.7,3.4,3.4,3.8,4.2,4.3
BMW,2020,"35,961",24,32,,"27,265",1,4.7,809,4.7,13,92,4.8,4.6,5,4.5,4.9,4.5
Ford,2023,"28,095",21,28,2,"47,288",0,,14,4,2,50,5,5,4,3.5,5,3.5
GMC,2021,"33,932",19,26,3.6,"42,474",0,,52,4.7,45,91,4.9,4.8,4.7,4.5,4.9,4.5
BMW,2019,"29,998",21,32,,"39,941",1,,1,4.2,9,88,4.6,4.3,4.9,3.8,5,4.4
Mercedes-Benz,2020,"41,950",23,32,2,"4,926",0,4.3,147,5,3,100,4.7,5,5,4.7,5,5
Chevrolet,2023,"28,988",26,30,1.3,"11,400",0,4.3,419,4.7,11,100,4.8,4.5,4.5,4.5,4.8,4.9
Ford,2020,"28,900",20,24,2.3,"73,988",0,4.5,,4.8,85,95,4.8,4.7,4.8,4.7,4.9,4.7
Lexus,2022,"33,995",,,2.5,"23,977",0,4.9,386,,,,,,,,,
Hyundai,2023,"31,999",23,28,2.5,"8,312",0,4.9,,4.5,19,78,4.4,4.6,4.2,4.3,4.7,4.4
Jeep,2021,"37,531",17,22,3.6,"21,397",0,4.8,,4.9,59,98,4.8,4.9,4.9,4.6,4.9,4.9
BMW,2016,"17,996",30,40,2,"122,333",1,3.9,,5,6,100,5,4.8,5,4.8,4.8,5
Volvo,2020,"23,733",20,27,2,"74,166",0,5,92,4.9,42,95,4.9,4.9,4.9,5,4.9,4.9
Chevrolet,2016,"9,998",26,38,1.4,"64,883",0,4.2,875,4.6,79,93,4.5,4.5,4.6,4.5,4.6,4.6
BMW,2018,"17,740",23,33,2,"84,941",0,3.6,371,5,2,100,5,5,5,5,5,5
Toyota,2023,"38,585",16,19,4,"36,827",0,4.5,949,5,9,100,4.9,5,4.8,5,4.9,5
Ford,2023,"26,995",20,28,2,"44,947",0,,2,4,2,50,5,5,4,3.5,5,3.5
Toyota,2021,"21,984",28,39,2.5,"71,367",0,4.7,,4.8,75,96,4.7,4.7,4.8,4.7,4.9,4.9
Subaru,2024,"28,021",27,35,2.5,"5,177",0,4.4,37,,,,,,,,,
Chevrolet,2022,"23,195",25,30,1.5,"47,650",0,,17,4.4,14,78,4.4,4.1,4.3,4.3,4.6,4.1
Ford,2018,"16,995",22,28,1.5,"38,668",0,,28,4.7,707,93,4.8,4.8,4.7,4.6,4.8,4.7
Nissan,2018,"16,995",0,0,4,"161,565",0,4.1,369,5,,,5,5,5,5,5,5
Chevrolet,2017,"30,177",15,22,5.3,"94,635",0,4.6,800,4.4,79,81,4.7,4.6,4.4,4,4.6,4.2
GMC,2021,"43,457",14,20,5.3,"67,404",0,4.6,,3.8,55,61,4.3,4.2,3.8,3.6,4.3,3.5
Pontiac,2009,"4,000",,,2.4,"140,500",0,,,4.4,59,89,4.4,4.3,4.4,4.4,4.5,4.4
Volvo,2017,"13,876",25,36,2,"105,465",1,,9,4.8,17,100,4.9,4.7,4.8,4.6,4.8,4.8
Ford,2016,"15,998",17,24,,"97,544",,,25,4.6,150,90,4.8,4.7,4.6,4.5,4.7,4.5
Nissan,2023,"35,988",20,30,3.5,"15,424",0,,,5,2,100,5,5,5,4.5,5,5
Ford,2020,"16,998",27,29,,"30,716",1,,11,4.5,73,86,4.5,4.6,4.3,4.4,4.6,4.6
Chevrolet,2016,"10,962",15,22,3.6,"126,150",1,4.7,830,4.5,123,86,4.6,4.5,4.5,4.4,4.6,4.4
Chrysler,2005,"7,800",,,3.2,"70,061",0,,,4.8,95,95,4.2,4.2,4.8,4.8,4.9,4.6
Chevrolet,2023,"26,450",26,30,1.3,"34,801",0,5,61,4.7,11,100,4.8,4.5,4.5,4.5,4.8,4.9
Mazda,2015,"9,994",21,28,2.5,"84,845",1,,66,4.7,18,100,4.5,4.2,4.4,4.6,4.6,4.7
Nissan,2022,"21,369",24,30,2,"18,367",0,4.9,898,4.4,7,85,4.3,4.4,4.7,4.4,4.7,4.6
Hyundai,2016,"11,895",26,37,1.6,"107,888",0,,10,4.4,91,84,4.3,4.1,4.3,4.4,4.4,4.3
Genesis,2022,"33,777",18,27,3.3,"27,465",0,4.5,321,4.8,4,100,4.5,4.8,4.8,5,5,4.8
Toyota,2021,"41,998",16,19,,"51,604",0,,0,4.9,44,95,4.9,4.8,4.7,4.8,4.8,4.9
Mercedes-Benz,2014,"12,995",14,19,4.6,"121,255",0,,3,4.6,38,94,4.8,4.7,4.7,4.4,4.8,4.5
Volvo,2015,"14,599",25,37,,"98,348",0,,2,4.7,54,96,4.7,4.7,4.6,4.6,4.7,4.8
Chevrolet,2019,"16,222",25,30,1.5,"38,233",0,,1,4.5,427,86,4.6,4.6,4.5,4.4,4.6,4.5
Chevrolet,2014,"10,735",26,38,1.4,"75,148",0,,7,4.2,355,81,4.3,4.3,4.1,4.2,4.4,4.2
Subaru,2017,"23,411",17,23,,"90,152",0,4.7,443,4.8,29,93,4.3,4.6,4.9,4.7,4.7,4.7
Ford,2024,"33,719",21,28,2,"18,662",0,4,184,3.5,4,50,3.5,3.5,3.2,3,3.5,3.8
Subaru,2024,"38,846",19,25,2.4,"3,579",0,4.8,270,5,,,5,5,5,5,5,5
Ford,2023,"28,750",40,33,2.5,"3,022",0,4,39,4.5,33,84,4.4,4.2,4.5,4.3,4.5,4.5
Lexus,2021,"35,559",19,26,3.5,"49,298",1,4.8,,4.6,8,87,4.5,4.5,4.8,4.5,4.8,4.8
Subaru,2014,"14,455",19,25,2.5,"103,482",0,4.4,,4.6,36,94,4.1,3.6,4.7,4.5,4.7,4.5
Scion,2015,"19,972",22,30,2,"39,654",0,,8,4.6,23,95,4.1,4.3,4.3,4.5,4.7,4.8
Mercedes-Benz,1995,"18,991",16,20,5,"38,628",1,3.3,22,4.7,8,100,4.7,4.7,4.5,4.6,4.6,4.6
Lexus,2003,"14,900",18,23,4.3,"114,072",0,,7,4.7,36,97,4.6,4.6,4.6,4.6,4.8,4.8
Mercedes-Benz,2006,"8,000",,,5,"118,000",1,,,4.2,53,69,4.6,4.5,4.3,4,4.6,3.7
Mitsubishi,2024,"27,500",25,26,1.5,"2,635",0,2.7,188,1,,,3,3,3,2,3,4
Lexus,2020,"26,998",41,38,2,"38,833",0,4.5,,4.9,11,100,4.9,4.8,5,4.9,5,5
Buick,2019,"14,573",25,30,1.4,"65,010",0,4.2,,4.7,187,92,4.7,4.6,4.5,4.6,4.8,4.7
Hyundai,2017,"15,250",,,1.6,"106,000",0,,,4.7,637,94,4.8,4.6,4.5,4.6,4.8,4.7
Honda,2022,"27,995",29,35,1.5,"71,452",0,,,5,5,100,5,5,5,5,5,5
GMC,2008,"10,975",12,16,5.3,"247,312",0,3.9,116,4.5,2,100,4.5,2.5,4.5,5,3,5
Chevrolet,2023,"37,471",19,26,3.6,"23,464",1,4.6,551,5,3,100,5,5,5,5,5,5
Chevrolet,1995,"8,000",,,,"100,003",0,,,4.4,5,80,4.6,4.6,4,4.5,4.6,4.5
Jeep,2014,"17,765",16,20,3.6,"75,849",0,,,4.7,125,95,4.4,4.6,4.5,4.4,4.8,4.6
Mercedes-Benz,1980,"10,888",0,0,,"99,088",,3.6,128,3,,,5,5,4,5,5,5
Lexus,2005,"6,975",21,27,3.3,"231,887",0,3.9,155,4.8,84,97,4.9,4.7,4.6,4.8,4.6,4.9
Genesis,2022,"44,500",19,25,3.5,"34,031",0,,2,4.2,12,75,4.6,4.6,4.2,3.9,4.6,4.1
Hyundai,2021,"23,599",22,28,2,"22,450",0,4.8,263,5,2,100,5,5,5,5,5,5
Ford,2021,"23,991",21,28,2,"17,602",0,4.9,,4.4,14,92,4.7,4.5,4.4,4.4,4.7,4.6
Jeep,2024,"24,999",24,32,2,"13,374",1,4.9,232,5,,,5,5,5,5,5,5
Honda,2019,"24,799",18,25,3.5,"78,005",1,,106,4.8,173,97,4.9,4.8,4.8,4.6,4.7,4.8
Acura,2022,"36,990",22,0,2,"9,852",0,4.9,101,5,2,100,5,5,4.5,5,4.5,5
Lincoln,2018,"18,924",20,28,2,"63,808",0,4.8,,4.9,47,95,4.8,4.8,5,4.7,4.9,4.9
Lexus,2021,"35,691",19,26,3.5,"50,789",0,4.2,159,4.6,63,88,4.7,4.7,4.7,4.6,4.6,4.8
Jeep,2018,"21,325",18,25,3.6,"73,724",1,,97,4.8,402,94,4.8,4.8,4.8,4.6,4.8,4.7
Volkswagen,2022,"29,995",20,24,2,"30,862",0,,2,4.1,7,57,4.9,4,4.3,3.7,4.6,4.7
Subaru,2022,"30,950",19,26,2.4,"7,062",1,,49,4.1,9,66,3.7,3.7,4.8,4.2,3.7,4.1
Hyundai,2024,"27,500",24,29,1.6,"7,687",0,4.8,,4.2,8,87,5,5,4.5,4.1,4.9,4.4
Jeep,2005,"7,988",17,20,3.7,"162,757",0,2.4,58,4.1,88,83,3.9,3.9,4.1,4.1,4.4,4.2
Lincoln,2013,"7,161",18,27,3.7,"163,631",1,4.7,740,4.5,57,82,4.6,4.5,4.5,4.4,4.4,4.4
Chevrolet,2016,"7,990",26,38,1.4,"127,928",1,3.2,140,4.6,79,93,4.5,4.5,4.6,4.5,4.6,4.6
Kia,2016,"8,997",21,26,2.4,"117,867",1,4,23,4.6,280,90,4.6,4.6,4.6,4.5,4.6,4.6
Toyota,2022,"21,521",31,40,2,"65,659",1,4.7,,4.2,6,66,4.3,4,4.2,4.3,3.8,4.3
Chrysler,2022,"22,959",19,28,3.6,"75,785",0,4.9,187,3.8,5,100,4.2,4,4,3.6,3.8,3.8
Oldsmobile,1988,"6,995",17,26,3.8,"32,899",0,3.4,31,,,,,,,,,
